staking_period_start,staking_period_end,eigen_earned,eth_restaked,eth_not_restaked,eigen_per_eeth_weekly
2024-08-15,2024-10-05,2478088,1480684,532110,0.205
2024-10-06,2024-10-12,358681,1531605,474149,0.179
2024-10-13,2024-10-19,358383,1518610,498538,0.178
2024-10-20,2024-10-26,349136,1471568,618016,0.167
2024-10-27,2024-11-02,351442,1555346,559512,0.166
2024-11-03,2024-11-09,357174,1623479,499709,0.168
2024-11-10,2024-11-16,367510,1691153,446127,0.172
2024-11-17,2024-11-23,374000,1731185,387981,0.176
2024-11-24,2024-11-30,400932,1860800,333926,0.180
2024-12-01,2024-12-07,406422,2063326,159360,0.183
2024-12-08,2024-12-14,404016,2062106,118891,0.185
2024-12-15,2024-12-21,403885,2043889,135786,0.185
2024-12-22,2024-12-28,418446,2049497,165849,0.188
2024-12-29,2025-01-04,427519,2074747,123840,0.194
2025-01-05,2025-01-11,427414,2073581,145992,0.192
2025-01-12,2025-01-18,426286,2085771,139351,0.191
2025-01-19,2025-01-25,433287,2108830,144759,0.191
2025-01-26,2025-02-01,427324,2065844,182002,0.190
2025-02-02,2025-02-08,430639,2109192,152948,0.190
2025-02-09,2025-02-15,429587,2235677,110663,0.191
2025-02-16,2025-02-22,427012,2238436,129338,0.191
2025-02-23,2025-03-01,430131,2272603,121407,0.191
2025-03-02,2025-03-08,429971,2243862,121407,0.192
2025-03-09,2025-03-15,434232,2258206,105193,0.192
2025-03-16,2025-03-22,435271,2300292,155270,0.189
2025-03-23,2025-03-29,438989,2409425,214148,0.182
2025-03-30,2025-04-05,447960,2454633,140499,0.182
2025-04-06,2025-04-12,467299,2436289,93022,0.192
2025-04-13,2025-04-19,476023,2405523,76236,0.198
2025-04-20,2025-04-26,468996,2429087,184047,0.193
2025-04-27,2025-05-03,468640,2435780,190624,0.192
2025-05-04,2025-05-10,471792,2480525,228636,0.190
2025-05-11,2025-05-17,482835,2518587,206270,0.192
2025-05-18,2025-05-24,504920,2564468,188796,0.197
2025-05-25,2025-05-31,513824,2624067,228779,0.196
2025-06-01,2025-06-07,514771,2732950,281694,0.188
2025-06-08,2025-06-14,504919,2769367,275272,0.182
2025-06-15,2025-06-21,508087,2775124,221861,0.183
2025-06-22,2025-06-29,583404,2760773,187518,0.211
2025-06-30,2025-07-07,575796,2790239,216116,0.206
2025-07-08,2025-07-12,434222,2836634,218853,0.127
2025-07-13,2025-07-19,508985,2844123,194529,0.204
2025-07-20,2025-07-26,535209,2993742,175578,0.182
2025-07-27,2025-08-02,543162,3047012,194130,0.178
