instrument,contract_type,funding_rate,real_funding_rate,funding_time,date
1INCH-USD-SWAP,SWAP,8.83981437917e-05,-9.7182167601e-06,2025-03-01 08:00:00+00:00,2025-03-01
1INCH-USD-SWAP,SWAP,-1.23187764429e-05,0.0001654437158524,2025-03-01 16:00:00+00:00,2025-03-01
1INCH-USD-SWAP,SWAP,-0.0001843608412522,8.52909383752e-05,2025-03-01 00:00:00+00:00,2025-03-01
1INCH-USDT-SWAP,SWAP,-7.98248333581e-05,-6.42266185032e-05,2025-03-01 00:00:00+00:00,2025-03-01
1INCH-USDT-SWAP,SWAP,3.7987638723e-06,3.24705812978e-05,2025-03-01 16:00:00+00:00,2025-03-01
1INCH-USDT-SWAP,SWAP,-6.3336080769e-05,4.6648365158e-06,2025-03-01 08:00:00+00:00,2025-03-01
AAVE-USDT-SWAP,SWAP,5.24344052883e-05,5.7341301235e-06,2025-03-01 00:00:00+00:00,2025-03-01
AAVE-USDT-SWAP,SWAP,5.8349225724e-06,4.29751014285e-05,2025-03-01 08:00:00+00:00,2025-03-01
AAVE-USDT-SWAP,SWAP,4.2973741686e-05,2.03064682005e-05,2025-03-01 16:00:00+00:00,2025-03-01
ACE-USDT-SWAP,SWAP,0.0001089343710041,8.82736798379e-05,2025-03-01 16:00:00+00:00,2025-03-01
ACE-USDT-SWAP,SWAP,8.40083073819e-05,0.0001132109536175,2025-03-01 08:00:00+00:00,2025-03-01
ACE-USDT-SWAP,SWAP,-9.28830000005e-05,8.15610246549e-05,2025-03-01 00:00:00+00:00,2025-03-01
ACH-USDT-SWAP,SWAP,-0.0001555426356537,-2.64853262591e-05,2025-03-01 00:00:00+00:00,2025-03-01
ACH-USDT-SWAP,SWAP,-2.2430943391e-05,-2.71065411184e-05,2025-03-01 08:00:00+00:00,2025-03-01
ACH-USDT-SWAP,SWAP,-1.99267690905e-05,-1.99996348904e-05,2025-03-01 16:00:00+00:00,2025-03-01
ACH-USDT-SWAP,SWAP,-2.64614677829e-05,-2.64614677829e-05,2025-03-01 04:00:00+00:00,2025-03-01
ACH-USDT-SWAP,SWAP,4.53858128904e-05,4.53858128904e-05,2025-03-01 12:00:00+00:00,2025-03-01
ACH-USDT-SWAP,SWAP,-2.86962294266e-05,-2.86962294266e-05,2025-03-01 20:00:00+00:00,2025-03-01
ACT-USDT-SWAP,SWAP,3.32239236258e-05,-4.0056845384e-06,2025-03-01 00:00:00+00:00,2025-03-01
ACT-USDT-SWAP,SWAP,-6.0629413227e-06,0.0001813756449959,2025-03-01 08:00:00+00:00,2025-03-01
ACT-USDT-SWAP,SWAP,0.0001823260146262,0.0001483175093514,2025-03-01 16:00:00+00:00,2025-03-01
ADA-USD-SWAP,SWAP,7.99614903692e-05,3.07588724934e-05,2025-03-01 16:00:00+00:00,2025-03-01
ADA-USD-SWAP,SWAP,0.0001417022186082,8.52258165689e-05,2025-03-01 00:00:00+00:00,2025-03-01
ADA-USD-SWAP,SWAP,8.51283458712e-05,8.09541766776e-05,2025-03-01 08:00:00+00:00,2025-03-01
ADA-USDT-SWAP,SWAP,-2.03719058131e-05,5.80640368992e-05,2025-03-01 08:00:00+00:00,2025-03-01
ADA-USDT-SWAP,SWAP,5.87229295374e-05,2.2080373093e-05,2025-03-01 16:00:00+00:00,2025-03-01
ADA-USDT-SWAP,SWAP,2.21054103842e-05,-2.00311599795e-05,2025-03-01 00:00:00+00:00,2025-03-01
AEVO-USDT-SWAP,SWAP,3.50284445992e-05,0.0002074707899813,2025-03-01 16:00:00+00:00,2025-03-01
AEVO-USDT-SWAP,SWAP,0.000122986887067,5.20984849911e-05,2025-03-01 00:00:00+00:00,2025-03-01
AEVO-USDT-SWAP,SWAP,4.99866972184e-05,3.17035047398e-05,2025-03-01 08:00:00+00:00,2025-03-01
AGLD-USDT-SWAP,SWAP,7.7592031464e-05,-3.34803950415e-05,2025-03-01 08:00:00+00:00,2025-03-01
AGLD-USDT-SWAP,SWAP,-0.0001695302144878,7.4852216341e-05,2025-03-01 00:00:00+00:00,2025-03-01
AGLD-USDT-SWAP,SWAP,-3.4058182626e-05,-0.0001868289347035,2025-03-01 16:00:00+00:00,2025-03-01
AI16Z-USDT-SWAP,SWAP,0.0002237254384401,-0.0001107239353716,2025-03-01 00:00:00+00:00,2025-03-01
AI16Z-USDT-SWAP,SWAP,-0.0001052306301328,0.0002069832674547,2025-03-01 08:00:00+00:00,2025-03-01
AI16Z-USDT-SWAP,SWAP,0.0002090550964721,0.0003166350127344,2025-03-01 16:00:00+00:00,2025-03-01
AI16Z-USDT-SWAP,SWAP,0.0001394938047234,0.0001394938047234,2025-03-01 04:00:00+00:00,2025-03-01
AI16Z-USDT-SWAP,SWAP,8.41232291855e-05,8.41232291855e-05,2025-03-01 12:00:00+00:00,2025-03-01
AI16Z-USDT-SWAP,SWAP,0.000343609643863,0.000343609643863,2025-03-01 20:00:00+00:00,2025-03-01
AIDOGE-USDT-SWAP,SWAP,6.33708275025e-05,4.02861640624e-05,2025-03-01 16:00:00+00:00,2025-03-01
AIDOGE-USDT-SWAP,SWAP,0.0003230560996326,0.0001188972358084,2025-03-01 00:00:00+00:00,2025-03-01
