timestamp,protocol_rate,asset,source,quote_currency,date_oracle,date_market,market_rate,dex,market_rate_median_24h,peg_premium_percent,base_asset,processed_date,direct_gas_cost_usd,dex_gas_cost_usd,dex_execution_cost_bps,dex_execution_cost_usd,total_direct_cost_usd,total_dex_cost_usd,cost_difference_usd,optimal_route_by_cost,net_dex_benefit_usd,optimal_route_with_costs,peg_status
2024-05-12 23:00:00+00:00,1.1663876549639771,wstETH,aave_oracle_derived,ETH,2024-05-12,2024-05-12,1.16584614426892,uniswap,1.16584614426892,-0.04642630541848103,ETH,2025-09-29T17:28:26.957084,15.0,15.0,15.0,15.0,15.0,30.0,15.0,direct_staking,-10.357369458151897,direct_lido,at_peg
2024-05-13 00:00:00+00:00,1.1663913710912035,wstETH,aave_oracle_derived,ETH,2024-05-13,2024-05-13,1.16584614426892,uniswap,1.16584614426892,-0.04674475787430915,ETH,2025-09-29T17:28:26.957084,15.0,15.0,15.0,15.0,15.0,30.0,15.0,direct_staking,-10.325524212569086,direct_lido,at_peg
2024-05-13 01:00:00+00:00,1.1663952377307811,wstETH,aave_oracle_derived,ETH,2024-05-13,2024-05-13,1.16586507687501,uniswap,1.16586507687501,-0.045452933844491124,ETH,2025-09-29T17:28:26.957084,15.0,15.0,15.0,15.0,15.0,30.0,15.0,direct_staking,-10.454706615550887,direct_lido,at_peg
2024-05-13 02:00:00+00:00,1.1663991023528104,wstETH,aave_oracle_derived,ETH,2024-05-13,2024-05-13,1.165874523737945,uniswap,1.165874523737945,-0.0449741956940095,ETH,2025-09-29T17:28:26.957084,15.0,15.0,15.0,15.0,15.0,30.0,15.0,direct_staking,-10.50258043059905,direct_lido,at_peg
2024-05-13 03:00:00+00:00,1.1664029649588703,wstETH,aave_oracle_derived,ETH,2024-05-13,2024-05-13,1.165874523737945,uniswap,1.165874523737945,-0.04530520213002434,ETH,2025-09-29T17:28:26.957084,15.0,15.0,15.0,15.0,15.0,30.0,15.0,direct_staking,-10.469479786997566,direct_lido,at_peg
2024-05-13 04:00:00+00:00,1.1664068255505382,wstETH,aave_oracle_derived,ETH,2024-05-13,2024-05-13,1.165883559637595,uniswap,1.165883559637595,-0.04486135553058793,ETH,2025-09-29T17:28:26.957084,15.0,15.0,15.0,15.0,15.0,30.0,15.0,direct_staking,-10.513864446941206,direct_lido,at_peg
2024-05-13 05:00:00+00:00,1.1664106841293889,wstETH,aave_oracle_derived,ETH,2024-05-13,2024-05-13,1.165888077584025,uniswap,1.165888077584025,-0.04480467750121139,ETH,2025-09-29T17:28:26.957084,15.0,15.0,15.0,15.0,15.0,30.0,15.0,direct_staking,-10.51953224987886,direct_lido,at_peg
2024-05-13 06:00:00+00:00,1.1664145406969963,wstETH,aave_oracle_derived,ETH,2024-05-13,2024-05-13,1.165919409539065,uniswap,1.165919409539065,-0.04244898710157101,ETH,2025-09-29T17:28:26.957084,15.0,15.0,15.0,15.0,15.0,30.0,15.0,direct_staking,-10.755101289842898,direct_lido,at_peg
2024-05-13 07:00:00+00:00,1.166418395254933,wstETH,aave_oracle_derived,ETH,2024-05-13,2024-05-13,1.165961691347245,uniswap,1.165961691347245,-0.039154381442013365,ETH,2025-09-29T17:28:26.957084,15.0,15.0,15.0,15.0,15.0,30.0,15.0,direct_staking,-11.084561855798663,direct_lido,at_peg
2024-05-13 08:00:00+00:00,1.1664222478047688,wstETH,aave_oracle_derived,ETH,2024-05-13,2024-05-13,1.165961691347245,uniswap,1.165961691347245,-0.03948453987314791,ETH,2025-09-29T17:28:26.957084,15.0,15.0,15.0,15.0,15.0,30.0,15.0,direct_staking,-11.05154601268521,direct_lido,at_peg
2024-05-13 09:00:00+00:00,1.1664260983480723,wstETH,aave_oracle_derived,ETH,2024-05-13,2024-05-13,1.1659818834058502,uniswap,1.1659818834058502,-0.03808341933117259,ETH,2025-09-29T17:28:26.957084,15.0,15.0,15.0,15.0,15.0,30.0,15.0,direct_staking,-11.191658066882741,direct_lido,at_peg
2024-05-13 10:00:00+00:00,1.166429946886412,wstETH,aave_oracle_derived,ETH,2024-05-13,2024-05-13,1.1659818834058502,uniswap,1.1659818834058502,-0.03841323533898902,ETH,2025-09-29T17:28:26.957084,15.0,15.0,15.0,15.0,15.0,30.0,15.0,direct_staking,-11.158676466101099,direct_lido,at_peg
2024-05-13 11:00:00+00:00,1.166433793421352,wstETH,aave_oracle_derived,ETH,2024-05-13,2024-05-13,1.165987028663105,uniswap,1.165987028663105,-0.03830176738419588,ETH,2025-09-29T17:28:26.957084,15.0,15.0,15.0,15.0,15.0,30.0,15.0,direct_staking,-11.169823261580412,direct_lido,at_peg
2024-05-13 12:00:00+00:00,1.166437637954457,wstETH,aave_oracle_derived,ETH,2024-05-13,2024-05-13,1.166019490026105,uniswap,1.166019490026105,-0.035848288390739336,ETH,2025-09-29T17:28:26.957084,15.0,15.0,15.0,15.0,15.0,30.0,15.0,direct_staking,-11.415171160926066,direct_lido,at_peg
2024-05-13 13:00:00+00:00,1.1664414804872894,wstETH,aave_oracle_derived,ETH,2024-05-13,2024-05-13,1.166019490026105,uniswap,1.166019490026105,-0.036177593839351256,ETH,2025-09-29T17:28:26.957084,15.0,15.0,15.0,15.0,15.0,30.0,15.0,direct_staking,-11.382240616064873,direct_lido,at_peg
2024-05-13 14:00:00+00:00,1.1664453210214092,wstETH,aave_oracle_derived,ETH,2024-05-13,2024-05-13,1.16602314223807,uniswap,1.16602314223807,-0.03619361968630314,ETH,2025-09-29T17:28:26.957084,15.0,15.0,15.0,15.0,15.0,30.0,15.0,direct_staking,-11.380638031369685,direct_lido,at_peg
2024-05-13 15:00:00+00:00,1.166449159558376,wstETH,aave_oracle_derived,ETH,2024-05-13,2024-05-13,1.1659954824124399,uniswap,1.1659954824124399,-0.03889386367321756,ETH,2025-09-29T17:28:26.957084,15.0,15.0,15.0,15.0,15.0,30.0,15.0,direct_staking,-11.110613632678245,direct_lido,at_peg
2024-05-13 16:00:00+00:00,1.1664529960997474,wstETH,aave_oracle_derived,ETH,2024-05-13,2024-05-13,1.166002195286235,uniswap,1.166002195286235,-0.03864714780790906,ETH,2025-09-29T17:28:26.957084,15.0,15.0,15.0,15.0,15.0,30.0,15.0,direct_staking,-11.135285219209095,direct_lido,at_peg
2024-05-13 17:00:00+00:00,1.1664568306470788,wstETH,aave_oracle_derived,ETH,2024-05-13,2024-05-13,1.166002195286235,uniswap,1.166002195286235,-0.03897575537293459,ETH,2025-09-29T17:28:26.957084,15.0,15.0,15.0,15.0,15.0,30.0,15.0,direct_staking,-11.10242446270654,direct_lido,at_peg
2024-05-13 18:00:00+00:00,1.1664606632019243,wstETH,aave_oracle_derived,ETH,2024-05-13,2024-05-13,1.166002195286235,uniswap,1.166002195286235,-0.039304190029939394,ETH,2025-09-29T17:28:26.957084,15.0,15.0,15.0,15.0,15.0,30.0,15.0,direct_staking,-11.06958099700606,direct_lido,at_peg
2024-05-13 19:00:00+00:00,1.1664644937658375,wstETH,aave_oracle_derived,ETH,2024-05-13,2024-05-13,1.166002195286235,uniswap,1.166002195286235,-0.03963245191545079,ETH,2025-09-29T17:28:26.957084,15.0,15.0,15.0,15.0,15.0,30.0,15.0,direct_staking,-11.036754808454921,direct_lido,at_peg
2024-05-13 20:00:00+00:00,1.166468322340368,wstETH,aave_oracle_derived,ETH,2024-05-13,2024-05-13,1.166002195286235,uniswap,1.166002195286235,-0.03996054116564829,ETH,2025-09-29T17:28:26.957084,15.0,15.0,15.0,15.0,15.0,30.0,15.0,direct_staking,-11.00394588343517,direct_lido,at_peg
2024-05-13 21:00:00+00:00,1.1664721489270655,wstETH,aave_oracle_derived,ETH,2024-05-13,2024-05-13,1.16602681905755,uniswap,1.16602681905755,-0.038177496987401624,ETH,2025-09-29T17:28:26.957084,15.0,15.0,15.0,15.0,15.0,30.0,15.0,direct_staking,-11.182250301259838,direct_lido,at_peg
2024-05-13 22:00:00+00:00,1.1664759735274786,wstETH,aave_oracle_derived,ETH,2024-05-13,2024-05-13,1.16602681905755,uniswap,1.16602681905755,-0.03850524829673802,ETH,2025-09-29T17:28:26.957084,15.0,15.0,15.0,15.0,15.0,30.0,15.0,direct_staking,-11.149475170326198,direct_lido,at_peg
2024-05-13 23:00:00+00:00,1.1664797961431526,wstETH,aave_oracle_derived,ETH,2024-05-13,2024-05-13,1.166002195286235,uniswap,1.166002195286235,-0.04094377446542613,ETH,2025-09-29T17:28:26.957084,15.0,15.0,15.0,15.0,15.0,30.0,15.0,direct_staking,-10.905622553457388,direct_lido,at_peg
2024-05-14 00:00:00+00:00,1.166483616775632,wstETH,aave_oracle_derived,ETH,2024-05-14,2024-05-14,1.1659954824124399,uniswap,1.1659954824124399,-0.04184665400972043,ETH,2025-09-29T17:28:26.957084,15.0,15.0,15.0,15.0,15.0,30.0,15.0,direct_staking,-10.815334599027956,direct_lido,at_peg
2024-05-14 01:00:00+00:00,1.1664876353910814,wstETH,aave_oracle_derived,ETH,2024-05-14,2024-05-14,1.1659954824124399,uniswap,1.1659954824124399,-0.04219101546468325,ETH,2025-09-29T17:28:26.957084,15.0,15.0,15.0,15.0,15.0,30.0,15.0,direct_staking,-10.780898453531675,direct_lido,at_peg
2024-05-14 02:00:00+00:00,1.1664916617141887,wstETH,aave_oracle_derived,ETH,2024-05-14,2024-05-14,1.165990940471455,uniswap,1.165990940471455,-0.04292540265550474,ETH,2025-09-29T17:28:26.957084,15.0,15.0,15.0,15.0,15.0,30.0,15.0,direct_staking,-10.707459734449525,direct_lido,at_peg
2024-05-14 03:00:00+00:00,1.16649569576715,wstETH,aave_oracle_derived,ETH,2024-05-14,2024-05-14,1.165990940471455,uniswap,1.165990940471455,-0.0432710808558091,ETH,2025-09-29T17:28:26.957084,15.0,15.0,15.0,15.0,15.0,30.0,15.0,direct_staking,-10.67289191441909,direct_lido,at_peg
2024-05-14 04:00:00+00:00,1.1664997375722468,wstETH,aave_oracle_derived,ETH,2024-05-14,2024-05-14,1.165990940471455,uniswap,1.165990940471455,-0.04361742093921876,ETH,2025-09-29T17:28:26.957084,15.0,15.0,15.0,15.0,15.0,30.0,15.0,direct_staking,-10.638257906078124,direct_lido,at_peg
