period_start,period_end,payout_date,period_days,reward_type,event_name,eigen_per_eeth_weekly,eigen_price_usd,eth_price_usd,weekly_reward_eth,daily_yield_pct,daily_yield_conservative,daily_yield_aggressive,daily_yield_final,distribution_mechanism,data_source,data_quality,defillama_reward_apy,ethfi_per_eeth,ethfi_price_usd,distribution_eth
2024-08-15,2024-10-05,2024-10-05,51,EIGEN_via_KING,EIGEN_Weekly_Distribution,0.205,3.5,2621.3170833333334,0.0002737173631385367,3.910248044836238e-05,3.1281984358689904e-05,4.692297653803486e-05,3.910248044836238e-05,king_protocol_weekly,real_eigen_distribution,exact,,,,
2024-10-06,2024-10-12,2024-10-12,6,EIGEN_via_KING,EIGEN_Weekly_Distribution,0.179,3.5,2427.9983333333334,0.00025803147860480405,3.686163980068629e-05,2.9489311840549035e-05,4.423396776082355e-05,3.686163980068629e-05,king_protocol_weekly,real_eigen_distribution,exact,,,,
2024-10-13,2024-10-19,2024-10-19,6,EIGEN_via_KING,EIGEN_Weekly_Distribution,0.178,3.5,2460.994166666667,0.0002531497264147653,3.616424663068076e-05,2.893139730454461e-05,4.3397095956816906e-05,3.616424663068076e-05,king_protocol_weekly,real_eigen_distribution,exact,,,,
2024-10-20,2024-10-26,2024-10-26,6,EIGEN_via_KING,EIGEN_Weekly_Distribution,0.167,3.5,2673.565416666667,0.00021862191826551216,3.1231702609358884e-05,2.4985362087487108e-05,3.747804313123066e-05,3.1231702609358884e-05,king_protocol_weekly,real_eigen_distribution,exact,,,,
2024-10-27,2024-11-02,2024-11-02,6,EIGEN_via_KING,EIGEN_Weekly_Distribution,0.166,3.5,2486.88875,0.00023362524761109642,3.3375035373013775e-05,2.670002829841102e-05,4.0050042447616525e-05,3.3375035373013775e-05,king_protocol_weekly,real_eigen_distribution,exact,,,,
2024-11-03,2024-11-09,2024-11-09,6,EIGEN_via_KING,EIGEN_Weekly_Distribution,0.168,3.5,2451.8683333333333,0.0002398171190541091,3.42595884363013e-05,2.740767074904104e-05,4.111150612356156e-05,3.42595884363013e-05,king_protocol_weekly,real_eigen_distribution,exact,,,,
2024-11-10,2024-11-16,2024-11-16,6,EIGEN_via_KING,EIGEN_Weekly_Distribution,0.172,3.5,3178.31875,0.0001894083153239429,2.705833076056327e-05,2.164666460845062e-05,3.246999691267592e-05,2.705833076056327e-05,king_protocol_weekly,real_eigen_distribution,exact,,,,
2024-11-17,2024-11-23,2024-11-23,6,EIGEN_via_KING,EIGEN_Weekly_Distribution,0.176,3.5,3102.8575,0.0001985266806484023,2.8360954378343186e-05,2.268876350267455e-05,3.403314525401182e-05,2.8360954378343186e-05,king_protocol_weekly,real_eigen_distribution,exact,,,,
2024-11-24,2024-11-30,2024-11-30,6,EIGEN_via_KING,EIGEN_Weekly_Distribution,0.18,3.5,3368.5420833333333,0.0001870245300235599,2.67177900033657e-05,2.137423200269256e-05,3.206134800403884e-05,2.67177900033657e-05,king_protocol_weekly,real_eigen_distribution,exact,,,,
2024-12-01,2024-12-07,2024-12-07,6,EIGEN_via_KING,EIGEN_Weekly_Distribution,0.183,3.5,3702.18375,0.00017300599949961963,2.4715142785659947e-05,1.977211422852796e-05,2.9658171342791934e-05,2.4715142785659947e-05,king_protocol_weekly,real_eigen_distribution,exact,,,,
2024-12-08,2024-12-14,2024-12-14,6,EIGEN_via_KING,EIGEN_Weekly_Distribution,0.185,3.5,4003.79,0.00016172176862422853,2.310310980346122e-05,1.848248784276898e-05,2.7723731764153462e-05,2.310310980346122e-05,king_protocol_weekly,real_eigen_distribution,exact,,,,
2024-12-15,2024-12-21,2024-12-21,6,EIGEN_via_KING,EIGEN_Weekly_Distribution,0.185,3.5,3886.7591666666667,0.00016659123249854044,2.379874749979149e-05,1.9038997999833195e-05,2.8558496999749786e-05,2.379874749979149e-05,king_protocol_weekly,real_eigen_distribution,exact,,,,
2024-12-22,2024-12-28,2024-12-28,6,EIGEN_via_KING,EIGEN_Weekly_Distribution,0.188,3.5,3329.51375,0.00019762645521436876,2.823235074490982e-05,2.2585880595927857e-05,3.3878820893891785e-05,2.823235074490982e-05,king_protocol_weekly,real_eigen_distribution,exact,,,,
